Report Name,AR report
Store Name,b2b-uat.myshopify.com
Generated On,31-Jul-2026 07:25:53 PM

Sr. No.,Order Date,Order Number,Email ID,Payment Status,Product Type,Product Category,Subtotal,Tax Value,Shipping Charge,Grand Total,Paid,Outstanding,Currency,Partner Name,Partner Cert ID,Partner SAP ID,Partner Type,Sales Rep. Name,Sales Rep. Emp Code,Entity,Division Name,Division Code,Order Age,upto 30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,181-365 Days,365 Above
1,21-Jul-2026,#1595,gargeepawarecc@gmail.com,PENDING,DRM W/PU EV,CTIA,810.0,40.5,0.0,850.5,0.0,850.5,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,ATC,,,ICEC,Channel US,017,10,850.5,0,0,0,0,0,0,0
2,17-Jul-2026,#1592,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,DRM,CTIA,681.99,28.16,0.0,710.15,682.98,27.17,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Academia,"Tyler Gray
",K5M1X9P,ICEC,Academia US,016,14,710.15,0,0,0,0,0,0,0
3,17-Jul-2026,#1591,moxi.patel.ctr@eccouncil.org,PENDING,iLabs,CDE,297.0,25.98,0.0,322.98,0.0,322.98,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,ATC,"Mia Carter
",R4N2K8T,ICEC,Channel US,017,14,322.98,0,0,0,0,0,0,0
4,14-Jul-2026,#1588,moxi.patel.ctr@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,2889.0,252.78,0.0,3141.78,0.0,3141.78,USD,Test USA Entity,SAP8N5T1Q4LX,574318926140,Academia,"Tyler Gray
",K5M1X9P,ICEC,Academia US,016,17,3141.78,0,0,0,0,0,0,0
5,14-Jul-2026,#1584,anandprakash.prasad@eccouncil.org,PARTIALLY_PAID,iLabs,CCT,224.0,15.68,0.0,239.68,200.68,39.0,USD,Anand's Company,Y6K2A7T9PXLM,470918632155,ATC,"Anna Sanders
",Z9Q4N6T,ICEC,Channel US,017,17,239.68,0,0,0,0,0,0,0
6,14-Jul-2026,#1581,gargeepawarecc@gmail.com,PENDING,iLabs + Prep EV + PU EV,EHE,75.99,3.0,0.0,78.99,0.0,78.99,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,ATC,"Christian Walker
",Y9M1R5K,ICEC,Channel US,017,17,78.99,0,0,0,0,0,0,0
7,14-Jul-2026,#1577,suraj.mistri@eccouncil.org,PARTIALLY_PAID,,,1495.0,119.6,0.0,1614.6,807.3,807.3,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Anand Prasad
",Sales rep owner code test,ICEC,Channel US,017,17,1614.6,0,0,0,0,0,0,0
8,14-Jul-2026,#1572,sameer.singh@eccouncil.org,PARTIALLY_PAID,DRM,CHFI,519.37,67.52,0.0,586.89,286.89,300.0,CAD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Logan Bryant
",S2L8R3M,ECCC,Academia US,016,17,586.89,0,0,0,0,0,0,0
9,14-Jul-2026,#1571,sameer.singh@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,2169.75,282.06,0.0,2451.81,0.0,2451.81,CAD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Logan Bryant
",S2L8R3M,ECCC,Academia US,016,17,2451.81,0,0,0,0,0,0,0
10,14-Jul-2026,#1570,sameer.singh@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,373.9,48.61,0.0,422.51,0.0,422.51,CAD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Logan Bryant
",S2L8R3M,ECCC,Academia US,016,17,422.51,0,0,0,0,0,0,0
11,14-Jul-2026,#1569,sameer.singh@eccouncil.org,PENDING,,,1293.03,168.09,0.0,1461.12,0.0,1461.12,CAD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Logan Bryant
",S2L8R3M,ECCC,Academia US,016,17,1461.12,0,0,0,0,0,0,0
12,10-Jul-2026,#1568,gargeepawarecc@gmail.com,PARTIALLY_PAID,,,2199.0,175.92,0.0,2374.92,374.92,2000.0,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,21,2374.92,0,0,0,0,0,0,0
13,08-Jul-2026,#1565,Kurakula.Chaya@eccouncil.org,PENDING,,,4398.0,351.84,0.0,4749.84,0.0,4749.84,USD,Order Cap Test,P6Q9M2K7AXTW,491726835607,,,,ICEC,,,23,4749.84,0,0,0,0,0,0,0
