S. No,Order Date,Order Number,Email ID,Payment Status,SKU Code,Product Name,Product Type,Product Category,Qty,List Price,Order Value,Discount Value,Subtotal,Tax Value,Shipping Charge,Grand Total,Currency,SAP ID,Cert ID,Company / Partner Name,Partner Type,Billing Address,Billing City,Billing State Name,Billing State,Billing Country Name,Billing Country,Billing Zip Code,Shipping Address,Shipping City,Shipping State Name,Shipping State,Shipping Country Name,Shipping Country,Shipping Zip Code,Sales Rep Name,Sales Rep Emp Code,Payment Terms,Payment Reference,Payment Method,Next Payment Due At,Entity Name,Sales Org Code,Entity,Division Name,Division Code,Profit Center,Comments,Fulfillment Status,Fulfilled At,Discount Code
1,2026-07-20T12:36:15Z,#1593,suraj.mistri@eccouncil.org,PAID,CPENT-V02-DRM-Lab-EV-RPS-RANG,"Certified Penetration Testing Professional (CPENT) Version 2 eBook with Exam Voucher (RPS), CPENT Cyber Range for 90 Days & Lab for 180 Days",DRM W/PU EV + Lab + Practice range,CPENT,3,1503.22,4509.66,4374.37,135.29,14.88,0.0,150.17,CAD,784592316048,SAP7A92KX4M1,Sample Company,,4800 N US Highway 301,Tampa,Florida,FL,United States,US,33610,1855 Victoria Ave,Regina,Saskatchewan,SK,Canada,CA,S4P 3T2,"Sameer Singh
",1634A,,rzAoQlP0y37wzsr5eZSnYvBId,shopify_payments,,EC-Council Canada Inc.,SO15,ECCC,,,,,,,D97%
2,2026-07-17T07:13:38Z,#1592,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,CTIA-V02-DRM,Certified Threat Intelligence Analyst (CTIA) Version 2 eBook,DRM,CTIA,2,180.0,360.0,0,681.99,28.16,0.0,710.15,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,Academia,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Tyler Gray
",K5M1X9P,Net 7,#1592.1,manual,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-17T07:14:50Z,
3,2026-07-17T07:13:38Z,#1592,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,CSCU-V03-CNT-EDU-DRM-RPS-EV-iLAB-VID,"Continuing Education Bundle: Certified Secure Computer User (CSCU) Version 3 e-Courseware with Exam Voucher (RPS), iLabs & Videos",DRM W/PU EV + iLabs + iVideo,CSCU,3,99.0,297.0,0,681.99,28.16,0.0,710.15,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,Academia,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Tyler Gray
",K5M1X9P,Net 7,#1592.1,manual,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-17T07:14:50Z,
4,2026-07-17T07:13:38Z,#1592,moxi.patel.ctr@eccouncil.org,PARTIALLY_PAID,AIE-V01-DRM-VID-ECL,"AIE v1 eBook, Video Bundle (Pledge Scholarship) Platform Upgrade",DRM + iVideo,AIE,1,24.99,24.99,0,681.99,28.16,0.0,710.15,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,Academia,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Tyler Gray
",K5M1X9P,Net 7,#1592.1,manual,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Academia US,016,201,,SUCCESS,2026-07-17T07:14:50Z,
5,2026-07-17T07:00:18Z,#1591,moxi.patel.ctr@eccouncil.org,PENDING,ECDE-V02-iLAB,EC-Council Certified DevSecOps Engineer (ECDE) Version 2 iLabs,iLabs,CDE,3,99.0,297.0,0,297.0,25.98,0.0,322.98,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,,,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
6,2026-07-17T06:59:18Z,#1590,moxi.patel.ctr@eccouncil.org,PAID,ACCISO-V03-DRM-v04,Associate Certified Chief Information Security Officer (ACCISO) Version 3 eCourseware (Volume 4),DRM,ACCISO,2,49.99,99.98,0,99.98,0.0,0.0,99.98,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,#1590.1,manual,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,,,,
7,2026-07-17T06:55:23Z,#1589,moxi.patel.ctr@eccouncil.org,PARTIALLY_REFUNDED,CHFI-V11-DRM,Computer Hacking Forensic Investigator (CHFI) Version 11 eBook,DRM,CHFI,3,275.0,825.0,0,5268.0,388.76,0.0,5656.76,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,#1589.1,shopify_store_credit,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,"========================
RESTOCKING ENGINE

Processed: 17 Jul 2026, 06:57:46 AM UTC

Return ID: 13177290817

Returned Item (1):

• Computer Hacking Forensic Investigator (CHFI) Version 11 eBook
  • Qty   : 3
  • Value : USD 825.00

Restocking Fee       : USD 82.50
Tax Amount           : USD 7.22
Final Deduction      : USD 89.72
Cumulative Deduction : USD 89.72

========================

",SUCCESS,2026-07-17T06:57:13Z,
8,2026-07-17T06:55:23Z,#1589,moxi.patel.ctr@eccouncil.org,PARTIALLY_REFUNDED,DFE-V01-iLEARN,Digital Forensics Essentials  (DFE) Version 1 iLearn Kit,,,3,299.0,897.0,0,5268.0,388.76,0.0,5656.76,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,#1589.1,shopify_store_credit,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,"========================
RESTOCKING ENGINE

Processed: 17 Jul 2026, 06:57:46 AM UTC

Return ID: 13177290817

Returned Item (1):

• Computer Hacking Forensic Investigator (CHFI) Version 11 eBook
  • Qty   : 3
  • Value : USD 825.00

Restocking Fee       : USD 82.50
Tax Amount           : USD 7.22
Final Deduction      : USD 89.72
Cumulative Deduction : USD 89.72

========================

",SUCCESS,2026-07-17T06:57:13Z,
9,2026-07-17T06:55:23Z,#1589,moxi.patel.ctr@eccouncil.org,PARTIALLY_REFUNDED,CSCU-V03-CNT-EDU-DRM-RPS-EV-iLAB-VID,"Continuing Education Bundle: Certified Secure Computer User (CSCU) Version 3 e-Courseware with Exam Voucher (RPS), iLabs & Videos",DRM W/PU EV + iLabs + iVideo,CSCU,4,99.0,396.0,0,5268.0,388.76,0.0,5656.76,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,#1589.1,shopify_store_credit,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,"========================
RESTOCKING ENGINE

Processed: 17 Jul 2026, 06:57:46 AM UTC

Return ID: 13177290817

Returned Item (1):

• Computer Hacking Forensic Investigator (CHFI) Version 11 eBook
  • Qty   : 3
  • Value : USD 825.00

Restocking Fee       : USD 82.50
Tax Amount           : USD 7.22
Final Deduction      : USD 89.72
Cumulative Deduction : USD 89.72

========================

",SUCCESS,2026-07-17T06:57:13Z,
10,2026-07-17T06:55:23Z,#1589,moxi.patel.ctr@eccouncil.org,PARTIALLY_REFUNDED,CPENT-V02-DRM-Lab-EV-RPS-RANG,"Certified Penetration Testing Professional (CPENT) Version 2 eBook with Exam Voucher (RPS), CPENT Cyber Range for 90 Days & Lab for 180 Days",DRM W/PU EV + Lab + Practice range,CPENT,3,1050.0,3150.0,0,5268.0,388.76,0.0,5656.76,USD,574318926140,SAP8N5T1Q4LX,Test USA Entity,ATC,123 Madison Ave,Amityville,New York,NY,United States,US,11701,123 Madison Ave,Amityville,New York,NY,United States,US,11701,"Mia Carter
",R4N2K8T,Net 7,#1589.1,shopify_store_credit,2026-07-24,International Council of E-Commerce Consultants Inc,SO16,ICEC,Channel US,017,203,"========================
RESTOCKING ENGINE

Processed: 17 Jul 2026, 06:57:46 AM UTC

Return ID: 13177290817

Returned Item (1):

• Computer Hacking Forensic Investigator (CHFI) Version 11 eBook
  • Qty   : 3
  • Value : USD 825.00

Restocking Fee       : USD 82.50
Tax Amount           : USD 7.22
Final Deduction      : USD 89.72
Cumulative Deduction : USD 89.72

========================

",SUCCESS,2026-07-17T06:57:13Z,
