S. No.,Shopify Partner ID,Location Name,Cert ID,SAP ID,Partner Type,Email ID,Amount,Store Credits,Billing Address,Billing City,Billing State,Billing Country,Billing Country code,Billing Zip Code,Sales Rep. Name,Sales Rep. Emp Code,Payment Terms
1,5851512897,Sample- Academia,CRT100001,78124563,ATC,"singhsameer.me@gmail.com, jaishri.more@eccouncil.org, gothwadaditya01@gmail.com, aditya.gothwad@eccouncil.org, qopekamo@denipl.com, joncarlo.greysin@dropmeon.com, adi712287@gmail.com, andra.quamir@dropmeon.com, irish.kennen@dropmeon.com, yagnik.dudhat.ctr@eccouncil.org",103344.08,11093.06,4020 Franklin Pl,Vestal,New York,United States,US,13850,Anand Prasad,Sales rep owner code test,Net 90
2,5851545665,Sample- ATC,CRT100002,69283471,ATC,"singhsameer.me@gmail.com, jaishri.more@eccouncil.org, gothwadaditya01@gmail.com, aditya.gothwad@eccouncil.org, qopekamo@denipl.com, joncarlo.greysin@dropmeon.com, adi712287@gmail.com, andra.quamir@dropmeon.com, irish.kennen@dropmeon.com, yagnik.dudhat.ctr@eccouncil.org",263912.83,199.0,1812 Orangeburg St,North Charleston,South Carolina,United States,US,29405,Hello World,BANN6645,No Payment Terms
3,5851578433,Sample- Reseller,CRT100003,84591726,Academia,"singhsameer.me@gmail.com, jaishri.more@eccouncil.org, gothwadaditya01@gmail.com, aditya.gothwad@eccouncil.org, qopekamo@denipl.com, joncarlo.greysin@dropmeon.com, adi712287@gmail.com, andra.quamir@dropmeon.com, irish.kennen@dropmeon.com, zandyr.eustace@dropmeon.com",80719.6,19.89,4741 Adelaide St,Abbotsford,British Columbia,Canada,CA,V2T 3L7,Emily Johnson,USDTAI,No Payment Terms
4,5855248449,Sample- Academia2,CRT100004,71356842,,"gargeepawar@gmail.com, suraj.mistri@eccouncil.org",17897.91,,1855 Victoria Ave,Regina,Saskatchewan,Canada,CA,S4P 3T2,Sameer Singh,1634A,No Payment Terms
5,5855281217,New Test,CRT100005,92467135,ATC,suraj.mistri@eccouncil.org,2500.41,,5693 Old Jacksonboro Road,Ravenel,South Carolina,United States,US,29470,Sarah Miller,,No Payment Terms
6,5852954689,Test Location 1,CRT100006,58621397,Academia,,0.0,,4012 Olivia Drive,North Charleston,South Carolina,United States,US,29418,Daniel Wilson,90909,Net 15
7,5853052993,Canada - ATC,CRT100007,43789512,ATC,"Ketan.thakar@eccouncil.org, Shiva.Banda@eccouncil.org, veknehesta@necub.com",10305.95,,123 6 Ave SW,Calgary,Alberta,Canada,CA,T2P 0P6,Jessica Brown,,Net 15
8,5853085761,33 Indian Hill Road,CRT100008,65874231,,Ketan.thakar@eccouncil.org,2885.28,,33 Indian Hill Road,Wilton,Connecticut,United States,US,06897,,,Net 15
9,5853118529,15284 331 Business unit 13a,CRT100009,97246158,,Ketan.thakar@eccouncil.org,2722.05,,3423 W Dalke Ave,Spokane,Washington,United States,US,99205,,,Net 15
10,5853151297,123 Roaring Run Lane,CRT100010,81472369,Academia,Ketan.thakar@eccouncil.org,1496.0,,"123 Roaring Run Lane, 123 Tundra View Road",Chefornak,Alaska,United States,US,99561,Christopher Moore,,Net 15
11,5853544513,Canada -  Academia,CRT100011,56391847,ATC,"Ketan.thakar@eccouncil.org, Shiva.Banda@eccouncil.org, veknehesta@necub.com",2076.25,,"24 Sussex Drive, 450 Broadway",Winnipeg,Manitoba,Canada,CA,R3C 0V8,Amanda Thomas,,Net 15
12,5853577281,US - New York - Academia,CRT100012,74528613,Academia,"Ketan.thakar@eccouncil.org, Shiva.Banda@eccouncil.org, veknehesta@necub.com",0.0,,124 NY-17K,Newburgh,New York,United States,US,12550,Andrew White,,Net 15
13,5853806657,2415 Palumbo Drive,CRT100013,39157284,,Ketan.thakar@eccouncil.org,228.0,,2415 Palumbo Drive,Lexington,Kentucky,United States,US,40509,,,Net 15
14,5853839425,4126 Mountain Creek Rd,CRT100014,62814975,ATC,"Ketan.thakar@eccouncil.org, Shiva.Banda@eccouncil.org",2377.91,376.11,10910 Domain Drive,Austin,Texas,United States,US,78758,Ryan Martin,,Net 15
15,5853904961,5343 Dorchester Road,CRT100015,85732416,,Ketan.thakar@eccouncil.org,921.89,361.11,5343 Dorchester Road,North Charleston,South Carolina,United States,US,29418,,,Net 15
16,5855182913,2458 Maplewood Drive Southeast,CRT100020,94816532,ATC,finance@eccouncil.org,497.0,,2458 Maplewood Drive Southeast,Grand Rapids,Michigan,United States,US,49506,Tyler Allen,,Net 7
17,5855313985,Flora Dr,CRT100021,57289461,Academia,finance@eccouncil.org,0.0,,Flora Dr,North Charleston,South Carolina,United States,US,29406,Olivia King,,No Payment Terms
18,5856395329,Washington,CRT100022,86321749,,"watoco@denipl.com, botazoza@fxzig.com",13314.86,958.0,NY 2,Cropseyville,New York,United States,US,12052,Suraj Mistri,#0001,Net 7
19,5856591937,New Mexico,CRT100023,42175836,ATC,"watoco@denipl.com, cehuhy@denipl.net, botazoza@fxzig.com",2578.71,,1780 East University Avenue,Las Cruces,New Mexico,United States,US,88003,Brittany Green,A7K9P2M,Net 7
20,5856624705,New York,CRT100024,79654318,Academia,"watoco@denipl.com, botazoza@fxzig.com",1385.99,753.99,6 Metrotech Ctr,Brooklyn,New York,United States,US,11201,Nathan Baker,X4L8Q1R,Net 7
21,5857050689,Sample 1,CRT100025,31867495,,suraj.mistri@easymailer.live,0.0,,123 New York Route 303,Orangeburg,New York,United States,US,10962,,,No Payment Terms
22,5857083457,Sample 2,CRT100026,65429187,,suraj.mistri@easymailer.live,0.0,,5870 Core Road,North Charleston,South Carolina,United States,US,29406,,,No Payment Terms
23,5857116225,Sample 3,CRT100027,78253614,ATC,suraj.mistri@easymailer.live,0.0,,1100 West Indiana Avenue,Philadelphia,Pennsylvania,United States,US,19133,Hannah Mitchell,P3X7L2Q,No Payment Terms
24,5858558017,Test location,CRT100028,91584723,Academia,mevucepi@forexzig.com,758.0,,9087 Southwark Dr,Jacksonville,Florida,United States,US,32257,Eric Campbell,K9M1V8T,Net 7
25,5858590785,Test location demo,CRT100029,24619358,ATC,,0.0,,6752 East National Cemetery Road,Florence,South Carolina,United States,US,29506,Victoria Parker,Q5R2A7X,Net 7
26,5858623553,4562 Lake Ridge Trail Northwest,CRT100030,53746821,,jusudumo@denipl.com,0.0,,4562 Lake Ridge Trail Northwest,Lilburn,Georgia,United States,US,30047,,,Net 7
27,5858984001,Jose California,CRT100031,86912574,Academia,"sarah.carlson@eccouncil.org, wesley.alvarez@eccouncil.org, steve.graham@eccouncil.org, heather.richards@eccouncil.org",0.0,,3201 Vineyard Park Way,San Jose,California,United States,US,95135,Courtney Roberts,T7L3Q9C,Net 7
